UMAP generated data,,,
,PC1,PC2,PC3
0,9.70847,3.2725136,1.9357982
1,9.237868,3.1075711,2.5710757
2,10.024277,3.569739,2.8597376
3,10.083591,3.8132894,2.6343176
4,9.022405,2.8213198,2.159463
5,8.880595,2.6977057,2.0265992
6,9.596173,3.4069262,2.5966656
7,9.941539,3.8697236,2.4744115
8,10.08854,3.742983,2.6409159
9,9.788319,3.6296282,2.5013585
10,10.136329,3.8751853,2.6209989
11,9.82625,3.3383315,1.7559807
12,9.106138,2.8394518,2.4522974
13,9.276108,2.9227052,2.6328764
14,10.133654,3.8961294,2.584372
15,9.653453,3.5100858,2.2628284
16,9.652528,3.5818982,2.5487802
17,9.108189,2.9104881,2.3306456
18,9.067957,2.8833706,2.4132771
19,8.9403,2.709814,2.1173606
20,9.800158,3.2661579,1.8291192
21,9.867099,3.3973277,1.7901652
22,9.863288,3.562648,2.6901667
23,10.094286,3.8478556,2.6136763
24,9.04606,2.7994382,2.2568338
25,9.957626,3.5136864,2.9102824
26,9.812675,3.398068,1.6816541
27,9.77219,3.2821598,1.6931112
28,9.778156,3.740752,2.441297
29,9.522375,3.388741,2.4452457
30,9.767168,3.2234595,1.8951075
31,9.5796,3.1565435,2.7024906
32,9.901718,3.5414786,2.7224517
33,9.083902,2.8039947,2.4192297
34,9.717307,3.2683227,1.7040709
35,9.745707,3.3542473,1.8748772
36,9.647472,3.2227247,2.736533
37,8.951116,2.8165615,2.1412535
38,9.773216,3.6110468,2.5150778
39,9.8227415,3.3613706,2.7627013
40,10.019557,3.783563,2.5682065
41,9.843493,3.3670385,1.7885734
42,10.032962,3.6406906,2.8283947
43,9.293127,2.8780255,2.5807889
44,9.646257,3.1916485,2.685841
45,9.172473,2.9351647,2.5009665
46,9.167575,2.921788,2.534276
47,-2.302182,6.8549213,3.419375
48,-2.899771,7.2626963,2.9730234
49,2.2451289,6.34427,7.088011
50,9.768447,3.8533447,2.4418373
51,1.4454877,4.661752,5.803574
52,1.5703546,4.664462,5.6844997
53,2.2753372,6.233178,7.1204348
54,3.2920399,6.432766,3.7983694
55,1.5882844,7.57681,7.250011
56,1.5606607,7.490228,7.6033406
57,3.2517602,6.360071,3.828396
58,3.4305212,6.5001984,3.9673793
59,2.958919,6.4327984,4.0408688
60,3.267311,6.395323,3.8916214
61,1.327907,7.5144897,7.379348
62,3.3456583,6.4113774,3.7699158
63,2.6624272,6.6452136,6.6570554
64,1.7285033,7.8556795,7.3521657
65,1.4703544,4.6508164,5.737788
66,1.3305672,7.4991927,7.2931247
67,3.343297,6.4781547,3.8220897
68,1.5696169,4.5134478,5.8509398
69,3.3114836,6.4381175,3.7851887
